price_date,fund_code,unit_price,investor_count,total_fund_value
2026-04-28,DTV,63.754927,4,3846090427.23
2026-04-28,DTZ,4.602795,6331,273703757.22
2026-04-28,DUC,0.656120,12,227254.37
2026-04-28,DUD,48.275463,264,322880778.40
2026-04-28,DUH,1.178327,79,5168620.05
2026-04-28,DUT,45.208379,258,834993343.27
2026-04-28,DUV,1.211536,217,71290467.81
2026-04-28,DVC,63.807914,1,52641528.84
2026-04-28,DVI,72.540432,2,183012182.20
2026-04-28,DVN,60.588994,1,290193288.73
2026-04-28,DVO,4.743164,1,30392234.02
2026-04-28,DVS,1.391996,315,260399913.19
2026-04-28,DVT,8.358360,10799,743020045.00
2026-04-28,DVU,7.667827,5,1380397510.21
2026-04-28,DVZ,61.882073,1,1300238633.66
2026-04-28,DXP,1.828341,1179,54266575.23
2026-04-28,DYJ,45.145985,156,1063977783.61
2026-04-28,DYN,4.341669,1680,58247318.67
2026-04-28,DYS,1.492477,13,17328835.85
2026-04-28,DZ2,1.416938,2,12250674649.05
2026-04-28,DZE,1.011520,3029,259006489.09
2026-04-28,DZM,80.874239,4837,19881873564.99
2026-04-28,DZP,56.513814,2,440129584.52
2026-04-28,DZS,1.404850,157,62494347.40
2026-04-28,EBD,0.229468,395,46141463.91
2026-04-28,EBI,53.303179,30,585848946.00
2026-04-28,EBS,45.550636,32,3316316912.11
2026-04-28,EC2,87.763649,2580,89962549.98
2026-04-28,ECA,1.708422,390,161784864.16
2026-04-28,ECB,47.379329,3203,842497430.50
2026-04-28,ECV,0.435971,2396,97415749.29
2026-04-28,EDD,1.052407,13,10610162.44
2026-04-28,EDP,1.028451,34,52437759.93
2026-04-28,EDT,1.998528,627,964304463.92
2026-04-28,EDU,3.299650,663,441240653.22
2026-04-28,EES,55.153292,1,461160224.89
2026-04-28,EGP,53.989042,50,246953543.69
2026-04-28,EHS,2.886474,3,681031694.21
2026-04-28,EIB,0.580907,450,281961389.38
2026-04-28,EID,1.845061,2192,119766495.07
2026-04-28,EIL,4.652190,1917,1365147479.56
2026-04-28,EJG,9.587360,1,655959553.54
2026-04-28,EKF,0.125046,5409,1849312960.04
2026-04-28,EKL,1.618441,1450,22999077210.15
2026-04-28,ELZ,13.796784,786,563218089.14
2026-04-28,EME,1.203309,26,41582057.11
2026-04-28,EML,1.177296,784,43104364.10
2026-04-28,ENA,1.053824,15,10927513.48
2026-04-28,ENJ,1.354423,742,49874339.29
2026-04-28,ENO,45.079416,10,45120888.63
2026-04-28,ENR,1.064696,35,13424645.19
2026-04-28,ENS,1.086537,14,11127277.58
2026-04-28,EPA,1.218820,87,435016845.48
2026-04-28,EPI,1.158174,187,273761324.41
2026-04-28,EPK,1.426185,2056,280176188.60
2026-04-28,EPO,57.633454,1,425910940.19
2026-04-28,EPP,1.303882,40,1703041670.62
2026-04-28,EPT,1.180295,55,918471749.86
2026-04-28,ESG,4.209620,83,117588586.29
2026-04-28,ESN,1.640083,12,63239343.28
2026-04-28,ESP,0.520529,378,63280230.11
2026-04-28,EUN,59.801935,3603,6435352512.19
2026-04-28,EUZ,59.269068,39787,138387196664.04
2026-04-28,EVM,1.086212,610,45817363.03
2026-04-28,EYT,2.799934,631,87530469.15
2026-04-28,EZM,42.152551,1,4215255.13
2026-04-28,FAK,1.372290,451,34030838.03
2026-04-28,FAL,1.257313,935,345876877.07
2026-04-28,FBC,2.267421,5915,195056313.06
2026-04-28,FBI,49.262016,5462,20089066747.74
2026-04-28,FBN,10.332117,15,15985697.14
2026-04-28,FBV,7.173257,2331,672010819.06
2026-04-28,FBZ,4.152589,381,188689586.30
2026-04-28,FCK,1.942875,869,344724324.66
2026-04-28,FCS,2.046681,177,1506474918.99
2026-04-28,FD1,1.822654,176,30508907.77
2026-04-28,FDE,45.026696,895,4179377955.21
2026-04-28,FDG,2.693079,1502,313081063.02
2026-04-28,FDO,57.230226,1,271120355.15
2026-04-28,FDV,5.229027,1,1307256680.61
2026-04-28,FDY,45.158326,890,3884521353.19
2026-04-28,FDZ,0.303405,12,230326037.03
2026-04-28,FFD,0.045232,355,227220152.80
2026-04-28,FFF,62.520689,1,1051743531.69
2026-04-28,FFH,7.920270,1963,1263130440.81
2026-04-28,FFO,58.133302,7,104747721.88
2026-04-28,FFP,7.357556,2831,2553118270.78
2026-04-28,FHI,1.501288,11,235299397.48
2026-04-28,FHP,3.001527,45,9981507503.88
2026-04-28,FHZ,62.403084,3,723283379.96
2026-04-28,FI3,730.261297,9865,1836718621.37
2026-04-28,FI5,657.096514,51873,92511855931.45
2026-04-28,FIB,0.512898,13633,6213027971.03
2026-04-28,FID,1.009094,1817,972239915.39
2026-04-28,FIL,0.328994,19030,12513171968.48
2026-04-28,FIT,0.215329,607,216131659.47
2026-04-28,FJB,6.450111,838,393368179.47
2026-04-28,FJC,55.642882,88,1265095563.60
2026-04-28,FJM,53.671777,1744,8678286968.31
2026-04-28,FJN,53.476527,1261,5488445541.07
2026-04-28,FJZ,61.718880,890,1715843607.87
2026-04-28,FKE,56.050528,12702,49768253932.87
2026-04-28,FKH,45.549183,2132,12498240447.10
2026-04-28,FKV,45.164210,488,2221175861.07
2026-04-28,FLS,57.892942,2086,3063292447.81
2026-04-28,FLY,1.615618,1616,118022286.12
2026-04-28,FMG,3.691753,12874,14405827676.97
2026-04-28,FMS,53.722173,1,629716375.71
2026-04-28,FMV,1.259742,23,138507688.06
2026-04-28,FNE,2.737881,1,1067335.54
2026-04-28,FNN,0.000000,1,0.00
2026-04-28,FNO,0.190290,8570,15590506804.75
2026-04-28,FNT,2.028925,2141,597267535.65
2026-04-28,FP4,1.264399,120,93524052.80
2026-04-28,FPE,70.932200,1431,318955573.75
2026-04-28,FPG,2.416300,2548,1309501127.98
2026-04-28,FPH,34.134218,4850,1534227410.18
2026-04-28,FPI,2.343399,169,112250388.93
2026-04-28,FPK,0.087655,1164,280031639.35
2026-04-28,FPR,11.235835,21,173970419.99
2026-04-28,FPZ,64.208184,19559,133013988510.18
2026-04-28,FR1,1.477138,21,562267345.99
2026-04-28,FRA,32.782903,2,535876610.48
2026-04-28,FRC,1.767221,398,91080873.54
2026-04-28,FRZ,15.515093,2,277730144.65
2026-04-28,FS1,1.783051,296,216825954.78
2026-04-28,FS2,2.062229,28,16218274.88
2026-04-28,FS3,1.917780,22,1630653793.12
2026-04-28,FS4,8.728876,21,4481203285.01
2026-04-28,FS5,2.521556,9,22170176.08
2026-04-28,FS6,1.577366,388,116796676.84
2026-04-28,FSF,6.112996,7242,11289826797.69
2026-04-28,FSG,3.760589,848,1045904934.95
2026-04-28,FSH,4.157789,473,338377123.40
2026-04-28,FSK,5.420406,2576,6431154036.45
2026-04-28,FSM,8.056105,21,1081117356.20
2026-04-28,FSP,37.243833,23,473145.66
2026-04-28,FSR,44.938290,2538,8822732057.62
2026-04-28,FSU,1.324971,7279,928610162.47
2026-04-28,FSV,52.949169,876,5365339276.34
2026-04-28,FTL,1.356204,212,390349383.53
2026-04-28,FTM,52.330923,14,1697818128.11
2026-04-28,FTY,44.993144,1253,7526003156.83
2026-04-28,FUA,5.445278,5051,343984432.29
2026-04-28,FUB,0.705278,2285,1416498165.65
2026-04-28,FUM,58.770727,2,422622176.84
2026-04-28,FUN,1.475396,11,18103971.23
2026-04-28,FUP,102.649709,2,450393253.26
2026-04-28,FVL,4.376692,54,1442044464.19
2026-04-28,FYA,0.054395,159,1809430098.54
2026-04-28,FYB,93.639992,9,186947094.75
2026-04-28,FYD,11.989513,5921,3751545465.85
2026-04-28,FYF,0.099761,11,34987065.01
2026-04-28,FYG,15.606565,2,89772802.77
2026-04-28,FYH,82.570139,26,967814096.01
2026-04-28,FYI,9.114720,196,40864869.71
2026-04-28,FYM,0.410411,15,321635645.32
2026-04-28,FYO,1.051777,1290,982892411.97
2026-04-28,FYT,0.326062,99065,3108139863.13
2026-04-28,FYZ,6.241645,2,270991498.03
2026-04-28,FZJ,5.238823,2353,1273251788.00
2026-04-28,FZP,6.044034,657,1059447791.30
2026-04-28,GA1,1.807586,1551,350646419.49
2026-04-28,GAC,71.084334,1,392931235.41
2026-04-28,GAE,0.465960,15228,1612992142.97
2026-04-28,GAF,1.739452,1801,222014209.14
2026-04-28,GAG,16.789862,227,759147929.55
2026-04-28,GAH,11.568403,3049,436378357.47
2026-04-28,GAJ,59.150918,1,469366557.39
2026-04-28,GAL,364.041713,56891,59492397116.78
2026-04-28,GAN,9.008918,11,24261556.60
2026-04-28,GAS,0.296039,2337,3336964501.63
2026-04-28,GAU,61.384520,5,1987650883.56
2026-04-28,GAV,57.489986,1,226568033.11
2026-04-28,GBC,0.281247,1635,296769010.26
2026-04-28,GBG,0.509274,3336,158198807.40
2026-04-28,GBH,4.216394,2766,2222029772.03
2026-04-28,GBJ,1.546173,2131,665881124.92
2026-04-28,GBL,0.770754,1743,3072935172.29
2026-04-28,GBN,6.091346,462,5672633995.40
2026-04-28,GBP,66.537225,2,3649272005.07
2026-04-28,GBV,11.606050,23183,2436980726.70
2026-04-28,GBZ,3.421726,3558,1598636187.49
2026-04-28,GCA,67.223963,2,778695293.96
2026-04-28,GCC,5.305749,2,1178196720.66
2026-04-28,GCD,3.044475,13,424772994.39
2026-04-28,GCI,60.097758,3,205888668.43
2026-04-28,GCZ,57.568192,1,11209390.47
2026-04-28,GDJ,57.125921,4,462801535.19
2026-04-28,GDP,62.007271,1,1440804051.60
2026-04-28,GEC,71.169264,3,399372304.64
2026-04-28,GEI,102.038276,11,3772148749.22
2026-04-28,GEZ,56.434678,1,374413386.70
2026-04-28,GFB,65.241721,4,398369669.20
2026-04-28,GFD,64.802493,2,115371637.64
2026-04-28,GFI,49.795827,3,1610274506.18
2026-04-28,GFL,10.696408,1,315404193.69
2026-04-28,GFN,73.733572,3,853350778.32
2026-04-28,GFY,64.431597,3,395541769.63
2026-04-28,GGA,62.607949,3,8162182750.04
2026-04-28,GGC,5.272957,5,185254790.27
2026-04-28,GGD,61.279873,2,5847469325.56
2026-04-28,GGK,14.081594,13310,2860650676.18
2026-04-28,GGM,7.486450,1,2562544124.10
2026-04-28,GGN,63.915290,4,445069389.98
2026-04-28,GGP,26.317130,1,182298.76
2026-04-28,GGR,63.317472,3,1511193163.03
2026-04-28,GHS,40.061012,14821,3303835217.91
2026-04-28,GID,1.674235,2289,55477996.74
2026-04-28,GIE,3.685982,5148,94433079.90
2026-04-28,GIH,2.470688,710,19026847.37
2026-04-28,GJA,61.481443,3,876931711.94
2026-04-28,GJB,10.183586,1066,78139899.83
